bundesland,review_board,bip,%bip,#subject_area,%subject_area,#institution_id,%institution_id,#project_id,%project_id,average_fundation,%average_fundation
Sachsen,Informatik,2409522,0.16439698107265271,6,0.6666666666666666,15,0.40540540540540543,28,0.3684210526315789,4.0,0.8421052631578947
Sachsen,Mathematik,2409522,0.16439698107265271,1,1.0,14,0.42424242424242425,47,0.27325581395348836,4.25531914893617,0.6778384485031067
Sachsen,Psychologie,2409522,0.16439698107265271,4,0.8,11,0.3235294117647059,20,0.26666666666666666,5.1,0.7285714285714285
Sachsen,Theologie,2409522,0.16439698107265271,2,0.6666666666666666,7,0.5833333333333334,18,1.2,2.6666666666666665,0.38095238095238093
Sachsen,Sprachwissenschaften,2409522,0.16439698107265271,3,0.6,7,0.3333333333333333,5,0.09090909090909091,6.0,0.5
Sachsen-Anhalt,Alle,1291957,0.08814770335181882,7,0.30434782608695654,10,0.12345679012345678,37,0.10787172011661808,3.918918918918919,0.7676694398567614
Sachsen-Anhalt,Informatik,1291957,0.08814770335181882,2,0.2222222222222222,3,0.08108108108108109,4,0.05263157894736842,3.0,0.631578947368421
Sachsen-Anhalt,Mathematik,1291957,0.08814770335181882,1,1.0,3,0.09090909090909091,14,0.08139534883720931,4.928571428571429,0.7850821744627055
Sachsen-Anhalt,Psychologie,1291957,0.08814770335181882,2,0.4,5,0.14705882352941177,7,0.09333333333333334,5.571428571428571,0.7959183673469388
Sachsen-Anhalt,Theologie,1291957,0.08814770335181882,1,0.3333333333333333,2,0.16666666666666666,14,0.9333333333333333,2.642857142857143,0.37755102040816324
Sachsen-Anhalt,Sprachwissenschaften,1291957,0.08814770335181882,1,0.2,1,0.047619047619047616,1,0.01818181818181818,12.0,1.0
Bremen,Alle,704704,0.048080577869727956,9,0.391304347826087,15,0.18518518518518517,22,0.0641399416909621,3.409090909090909,0.6678002180572141
Bremen,Informatik,704704,0.048080577869727956,5,0.5555555555555556,9,0.24324324324324326,13,0.17105263157894737,2.4615384615384617,0.5182186234817814
Bremen,Mathematik,704704,0.048080577869727956,1,1.0,8,0.24242424242424243,6,0.03488372093023256,4.666666666666667,0.7433628318584071
Bremen,Psychologie,704704,0.048080577869727956,2,0.4,3,0.08823529411764706,2,0.02666666666666667,7.0,1.0
Bremen,Theologie,704704,0.048080577869727956,0,0.0,0,0.0,0,0.0,0.0,0.0
Bremen,Sprachwissenschaften,704704,0.048080577869727956,1,0.2,1,0.047619047619047616,1,0.01818181818181818,1.0,0.08333333333333333
Baden-Württemberg,Alle,9882059,0.6742335892271734,21,0.9130434782608695,66,0.8148148148148148,224,0.6530612244897959,4.504464285714286,0.8823707881210736
Baden-Württemberg,Informatik,9882059,0.6742335892271734,7,0.7777777777777778,35,0.9459459459459459,63,0.8289473684210527,4.126984126984127,0.8688387635756057
Baden-Württemberg,Mathematik,9882059,0.6742335892271734,1,1.0,18,0.5454545454545454,48,0.27906976744186046,5.791666666666667,0.922566371681416
Baden-Württemberg,Psychologie,9882059,0.6742335892271734,5,1.0,22,0.6470588235294118,68,0.9066666666666666,4.176470588235294,0.5966386554621849
Baden-Württemberg,Theologie,9882059,0.6742335892271734,3,1.0,12,1.0,15,1.0,4.266666666666667,0.6095238095238095
Baden-Württemberg,Sprachwissenschaften,9882059,0.6742335892271734,5,1.0,12,0.5714285714285714,38,0.6909090909090909,4.552631578947368,0.37938596491228066
Hamburg,Alle,2451175,0.1672388839283308,10,0.43478260869565216,11,0.13580246913580246,28,0.08163265306122448,3.107142857142857,0.6086521987435751
Hamburg,Informatik,2451175,0.1672388839283308,3,0.3333333333333333,5,0.13513513513513514,5,0.06578947368421052,3.0,0.631578947368421
Hamburg,Mathematik,2451175,0.1672388839283308,1,1.0,4,0.12121212121212122,7,0.040697674418604654,4.857142857142857,0.7737041719342603
Hamburg,Psychologie,2451175,0.1672388839283308,2,0.4,2,0.058823529411764705,4,0.05333333333333334,3.75,0.5357142857142857
Hamburg,Theologie,2451175,0.1672388839283308,1,0.3333333333333333,1,0.08333333333333333,2,0.13333333333333333,3.5,0.5
Hamburg,Sprachwissenschaften,2451175,0.1672388839283308,3,0.6,2,0.09523809523809523,11,0.2,1.7272727272727273,0.14393939393939395
